DBCODE,ENTITY,SITE,REACH_TYPE,DATE,INVERT_NO,LR_SUB,SUBSAMPLE_AREA,SUBSAMPLE_PROPORTION,TAXA,TAXA_RANK,INV_LIFESTAGE,MAG,INVERT_LENGTH,CONVERTED_LENGTH,TOT_CNT
AS010,2,"COOK",OG,2014-07-14,1,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.0,0.50,1
AS010,2,"COOK",OG,2014-07-14,2,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.0,0.50,1
AS010,2,"COOK",OG,2014-07-14,3,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.0,0.50,1
AS010,2,"COOK",OG,2014-07-14,4,SUB,0.0938,0.2500,"Ostracoda","CLASS",N,2.00,1.1,0.60,1
AS010,2,"COOK",OG,2014-07-14,5,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.1,0.55,1
AS010,2,"COOK",OG,2014-07-14,6,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.1,0.60,1
AS010,2,"COOK",OG,2014-07-14,7,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.2,0.60,1
AS010,2,"COOK",OG,2014-07-14,8,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.2,0.60,1
AS010,2,"COOK",OG,2014-07-14,9,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.3,0.65,1
AS010,2,"COOK",OG,2014-07-14,10,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.3,0.70,1
AS010,2,"COOK",OG,2014-07-14,11,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,4.1,0.70,1
AS010,2,"COOK",OG,2014-07-14,12,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.4,0.70,1
AS010,2,"COOK",OG,2014-07-14,13,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.4,0.70,1
AS010,2,"COOK",OG,2014-07-14,14,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,1.5,0.80,1
AS010,2,"COOK",OG,2014-07-14,15,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.5,0.80,1
AS010,2,"COOK",OG,2014-07-14,16,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.6,0.80,1
