DBCODE,ENTITY,SITE,REACH_TYPE,DATE,METER,BANKFULL_WIDTH,WETTED_WIDTH,CANOPY_COVER,DATE_DEPLOYED_TILES,DATE_RETRIEVED_TILES,CHL_A_TILES
AS010,3,"COOK",OG,2014-07-14,0,7.7,3.5,74.50,2014-07-08,2014-08-20,0.69
AS010,3,"COOK",OG,2014-07-14,10,10.6,4.6,61.50,2014-07-08,2014-08-20,1.17
AS010,3,"COOK",OG,2014-07-14,20,8.8,5.2,66.25,2014-07-08,2014-08-20,
AS010,3,"COOK",OG,2014-07-14,30,7.7,5.2,88.25,2014-07-08,2014-08-20,0.27
AS010,3,"COOK",OG,2014-07-14,40,11.5,4.8,91.50,2014-07-08,2014-08-20,
AS010,3,"COOK",OG,2014-07-14,50,13.6,5.3,69.50,2014-07-08,2014-08-20,0.51
AS010,3,"COOK",OG,2014-07-14,60,15.0,9.6,89.75,2014-07-08,2014-08-20,0.47
AS010,3,"COOK",OG,2014-07-14,70,10.6,5.4,90.75,2014-07-08,2014-08-20,
AS010,3,"COOK",OG,2014-07-14,80,10.8,4.1,58.50,2014-07-08,2014-08-20,0.25
AS010,3,"COOK",OG,2014-07-14,90,9.8,4.8,64.75,2014-07-08,2014-08-20,0.84
AS010,3,"COOK",OG,2014-07-14,100,9.9,4.7,82.75,2014-07-08,2014-08-20,0.70
AS010,3,"COOK",SG,2014-07-14,10,10.0,3.5,96.25,2014-07-08,2014-08-20,0.36
AS010,3,"COOK",SG,2014-07-14,20,8.7,2.8,97.25,2014-07-08,2014-08-20,0.44
AS010,3,"COOK",SG,2014-07-14,30,8.5,2.9,98.25,2014-07-08,2014-08-20,0.12
AS010,3,"COOK",SG,2014-07-14,40,9.7,2.8,92.25,2014-07-08,2014-08-20,0.80
AS010,3,"COOK",SG,2014-07-14,50,6.7,4.8,94.75,2014-07-08,2014-08-20,0.35
AS010,3,"COOK",SG,2014-07-14,60,6.8,5.7,94.25,2014-07-08,2014-08-20,0.82
AS010,3,"COOK",SG,2014-07-14,70,9.8,2.3,96.25,2014-07-08,2014-08-20,0.17
AS010,3,"COOK",SG,2014-07-14,80,8.3,4.1,96.50,2014-07-08,2014-08-20,0.25
AS010,3,"COOK",SG,2014-07-14,90,9.1,2.6,92.75,2014-07-08,2014-08-20,0.25
AS010,3,"COOK",SG,2014-07-14,100,8.1,3.4,93.75,2014-07-08,2014-08-20,0.37
AS010,3,"FRITZ",OG,2014-07-15,0,8.4,2.5,73.75,2014-07-09,2014-08-20,0.35
AS010,3,"FRITZ",OG,2014-07-15,10,13.1,1.9,91.75,2014-07-09,2014-08-20,0.29
AS010,3,"FRITZ",OG,2014-07-15,20,13.0,2.5,85.00,2014-07-09,2014-08-20,0.14
AS010,3,"FRITZ",OG,2014-07-15,30,5.8,3.5,79.75,2014-07-09,2014-08-20,0.20
AS010,3,"FRITZ",OG,2014-07-15,40,8.1,4.0,85.75,2014-07-09,2014-08-20,
AS010,3,"FRITZ",OG,2014-07-15,50,11.3,3.1,93.00,2014-07-09,2014-08-20,0.03
AS010,3,"FRITZ",OG,2014-07-15,60,9.5,4.1,94.00,2014-07-09,2014-08-20,0.20
AS010,3,"FRITZ",OG,2014-07-15,70,9.2,4.1,96.00,2014-07-09,2014-08-20,0.13
AS010,3,"FRITZ",OG,2014-07-15,80,12.0,4.1,97.00,2014-07-09,2014-08-20,0.08
AS010,3,"FRITZ",OG,2014-07-15,90,6.4,3.3,92.75,2014-07-09,2014-08-20,0.22
