DBCODE,ENTITY,SITE,REACH_TYPE,DATE,WOOD_PIECE,DIAMETER_1,DIAMETER_2,WOOD_LENGTH
AS010,4,"COOK",OG,2014-07-14,1,51,38,470
AS010,4,"COOK",OG,2014-07-14,2,65,50,1300
AS010,4,"COOK",OG,2014-07-14,3,85,70,1280
AS010,4,"COOK",OG,2014-07-14,4,40,75,1220
AS010,4,"COOK",OG,2014-07-14,5,140,135,1150
AS010,4,"COOK",OG,2014-07-14,6,44,50,1120
AS010,4,"COOK",OG,2014-07-14,7,90,92,1110
AS010,4,"COOK",OG,2014-07-14,8,25,33,490
AS010,4,"COOK",OG,2014-07-14,9,30,38,480
AS010,4,"COOK",OG,2014-07-14,10,65,70,420
AS010,4,"COOK",OG,2014-07-14,11,30,35,440
AS010,4,"COOK",OG,2014-07-14,12,55,40,420
AS010,4,"COOK",OG,2014-07-14,13,42,40,420
AS010,4,"COOK",OG,2014-07-14,14,20,24,120
AS010,4,"COOK",OG,2014-07-14,15,32,30,310
AS010,4,"COOK",OG,2014-07-14,16,85,43,850
AS010,4,"COOK",OG,2014-07-14,17,70,71,840
AS010,4,"COOK",OG,2014-07-14,18,105,110,700
AS010,4,"COOK",OG,2014-07-14,19,34,40,700
AS010,4,"COOK",OG,2014-07-14,20,73,87,680
AS010,4,"COOK",OG,2014-07-14,21,83,84,660
AS010,4,"COOK",OG,2014-07-14,22,50,56,640
AS010,4,"COOK",OG,2014-07-14,23,55,60,520
AS010,4,"COOK",OG,2014-07-14,24,48,48,520
AS010,4,"COOK",OG,2014-07-14,25,45,46,170
AS010,4,"COOK",OG,2014-07-14,26,50,52,160
AS010,4,"COOK",OG,2014-07-14,27,22,30,150
AS010,4,"COOK",OG,2014-07-14,28,20,18,130
AS010,4,"COOK",OG,2014-07-14,29,55,58,195
AS010,4,"COOK",OG,2014-07-14,30,32,30,280
AS010,4,"COOK",OG,2014-07-14,31,26,25,280
AS010,4,"COOK",OG,2014-07-14,32,20,22,240
AS010,4,"COOK",SG,2014-07-14,1,95,85,440
AS010,4,"COOK",SG,2014-07-14,2,50,45,340
AS010,4,"COOK",SG,2014-07-14,3,20,160,200
AS010,4,"FRITZ",OG,2014-07-15,1,30,18,470
AS010,4,"FRITZ",OG,2014-07-15,2,45,48,1300
