DBCODE,ENTITY,SITE,REACH_TYPE,DATE,POOL_NO,DEPTH_MAX,DEPTH_OUTFLOW,DEPTH_RESIDUAL,POOL_LENGTH,WIDTH
AS010,5,"COOK",OG,2014-07-14,1,110,16,94,820,680
AS010,5,"COOK",OG,2014-07-14,2,70,15,55,1030,460
AS010,5,"COOK",OG,2014-07-14,3,56,12,44,340,320
AS010,5,"COOK",SG,2014-07-14,1,80,9,71,1520,550
AS010,5,"COOK",SG,2014-07-14,2,48,7,41,310,280
AS010,5,"FRITZ",OG,2014-07-15,1,83,16,67,380,490
AS010,5,"FRITZ",OG,2014-07-15,2,85,18,67,490,400
AS010,5,"FRITZ",OG,2014-07-15,3,70,3,67,600,370
AS010,5,"FRITZ",OG,2014-07-15,4,60,18,42,240,320
AS010,5,"FRITZ",OG,2014-07-15,5,71,20,51,490,290
AS010,5,"FRITZ",OG,2014-07-15,6,58,20,38,260,220
AS010,5,"FRITZ",OG,2014-07-15,7,60,3,57,360,200
AS010,5,"FRITZ",OG,2014-07-15,8,71,15,56,340,190
AS010,5,"FRITZ",SG,2014-07-15,1,53,4,49,470,390
AS010,5,"FRITZ",SG,2014-07-15,2,80,12,68,500,370
AS010,5,"FRITZ",SG,2014-07-15,3,30,4,26,270,290
AS010,5,"FRITZ",SG,2014-07-15,4,53,15,38,320,260
AS010,5,"FRITZ",SG,2014-07-15,5,57,4,53,290,250
AS010,5,"FRITZ",SG,2014-07-15,6,48,12,36,270,250
AS010,5,"FRITZ",SG,2014-07-15,7,68,20,48,320,230
AS010,5,"FRITZ",SG,2014-07-15,8,67,17,50,240,180
AS010,5,"FRITZ",SG,2014-07-15,9,49,12,37,210,180
AS010,5,"LO701",OG,2014-07-29,1,112,22,90,620,770
AS010,5,"LO701",OG,2014-07-29,2,63,18,45,560,550
AS010,5,"LO701",OG,2014-07-29,3,62,23,39,460,550
AS010,5,"LO701",OG,2014-07-29,4,95,20,75,690,530
AS010,5,"LO701",OG,2014-07-29,5,70,18,52,592,501
AS010,5,"LO701",OG,2014-07-29,6,55,16,39,490,390
AS010,5,"LO701",OG,2014-07-29,7,80,16,64,510,340
AS010,5,"LO701",OG,2014-07-29,8,64,12,52,380,290
AS010,5,"LO701",OG,2014-07-29,9,55,8,47,390,280
AS010,5,"LO701",OG,2014-07-29,10,83,30,53,320,240
AS010,5,"LO701",OG,2014-07-29,11,65,15,50,210,220
AS010,5,"LO701",OG,2014-07-29,12,46,8,38,300,185
AS010,5,"LO701",SG,2014-08-07,1,62,18,44,745,615
AS010,5,"LO701",SG,2014-08-07,2,69,14,55,650,560
AS010,5,"LO701",SG,2014-08-07,3,73,20,53,950,470
AS010,5,"LO701",SG,2014-08-07,4,44,10,34,240,390
AS010,5,"LO701",SG,2014-08-07,5,64,15,49,670,360
AS010,5,"LO701",SG,2014-08-07,6,55,20,35,450,360
AS010,5,"LO701",SG,2014-08-07,7,46,21,25,300,360
AS010,5,"LO701",SG,2014-08-07,8,52,14,38,680,320
AS010,5,"LO701",SG,2014-08-07,9,54,8,46,390,320
AS010,5,"LO701",SG,2014-08-07,10,55,16,39,310,310
AS010,5,"LO701",SG,2014-08-07,11,63,13,50,470,300
AS010,5,"LO701",SG,2014-08-07,12,61,20,41,440,300
AS010,5,"LO701",SG,2014-08-07,13,70,20,50,320,300
AS010,5,"LO701",SG,2014-08-07,14,60,18,42,310,260
AS010,5,"LO701",SG,2014-08-07,15,47,28,19,470,240
AS010,5,"LO701",SG,2014-08-07,16,50,16,34,430,230
AS010,5,"LO703",OG,2014-07-18,1,75,12,63,480,410
AS010,5,"LO703",OG,2014-07-18,2,65,16,49,390,390
AS010,5,"LO703",OG,2014-07-18,3,60,18,42,300,300
AS010,5,"LO703",OG,2014-07-18,4,50,21,29,370,270
AS010,5,"LO703",OG,2014-07-18,5,60,18,42,260,260
AS010,5,"LO703",OG,2014-07-18,6,43,15,28,350,250
AS010,5,"LO703",OG,2014-07-18,7,63,15,48,240,240
